sample_id,campaign,alpha,size,n_states,n_converged,maximum_residual,orthogonality_defect,compact_states,mean_log_ipr2,se_log_ipr2,mean_gap_ratio,se_gap_ratio,median_twist_shift,se_twist_shift,twist_partner_present
SP-A58-L05-R0,A,0.58,5,24,24,2.4871796205541805e-09,3.2767248654087224e-08,1,-0.9250060920039042,0.02,0.38633775583813684,0.01,2.1143987889439774e-05,1.6e-06,True
SP-A58-L05-R1,B,0.58,5,24,24,2.139839494863654e-09,2.754503207502383e-08,0,-0.9145505234530704,0.022,0.3919272508125495,0.011,2.043666785137013e-05,1.6e-06,True
SP-A58-L05-R2,C,0.58,5,24,24,3.268764388059547e-09,3.3156558372882527e-08,1,-0.9507221641998568,0.024,0.3859136242179513,0.012,2.0624089661174848e-05,1.6e-06,True
SP-A58-L05-R3,A,0.58,5,24,24,2.6542630951181443e-09,3.226281171785011e-08,0,-0.8852290674317262,0.026,0.379221674037494,0.013,1.7224575494428377e-05,1.6e-06,True
SP-A58-L06-R0,A,0.58,6,24,24,3.5270408422818053e-09,2.9328449703167667e-08,1,-1.0265762726203818,0.02,0.3868014942309126,0.01,1.448744934023838e-05,1.2623633079987653e-06,True
SP-A58-L06-R1,B,0.58,6,24,24,3.0487195185636047e-09,2.3384054869171173e-08,0,-0.9979090079294292,0.022,0.3935314486656465,0.011,1.4254335140428561e-05,1.2623633079987653e-06,True
SP-A58-L06-R2,C,0.58,6,24,24,2.409675872102577e-09,3.713286948397237e-08,1,-0.943256537861243,0.024,0.38950171377867887,0.012,1.6223946042844226e-05,1.2623633079987653e-06,True
SP-A58-L06-R3,A,0.58,6,24,24,2.991479047582668e-09,3.87310461440103e-08,0,-1.1428843634291244,0.026,0.3938236215707135,0.013,1.6927778419840443e-05,1.2623633079987653e-06,True
SP-A58-L06-BAD,B,0.58,6,24,13,0.0003,2e-05,0,-0.8450556815368329,0.1,0.366,0.03,1.5779541349984567e-05,3.1559082699969137e-06,True
SP-A58-L07-R0,A,0.58,7,24,24,3.821253302134378e-09,2.530391634803292e-08,1,-1.0091671924284715,0.02,0.3765069216624795,0.01,1.2811974777137389e-05,1.0331265827952106e-06,True
SP-A58-L07-R1,B,0.58,7,24,24,2.3510668694619936e-09,3.0244765092744395e-08,0,-1.1273830059729117,0.022,0.3810591686944049,0.011,1.4547477513956156e-05,1.0331265827952106e-06,True
SP-A58-L07-R2,C,0.58,7,24,24,2.83119389088696e-09,3.191777050545352e-08,1,-1.1277482640747163,0.024,0.39791359336526533,0.012,1.3389953531278065e-05,1.0331265827952106e-06,True
SP-A58-L07-R3,A,0.58,7,24,24,2.4125402116013604e-09,3.549651641367382e-08,0,-1.1483048759104648,0.026,0.36910154967770337,0.013,1.1012489814979242e-05,1.0331265827952106e-06,True
SP-A58-L07-MISS,C,0.58,7,24,24,2e-09,2e-08,0,-1.1418318037189021,0.02,0.386,0.01,1.2914082284940133e-05,1.0331265827952106e-06,False
SP-A64-L05-R0,A,0.64,5,24,24,3.1066583878316074e-09,3.461245454520617e-08,1,-1.5674539716452605,0.02,0.4076164414577738,0.01,0.0001111938003651928,9.28e-06,True
SP-A64-L05-R1,B,0.64,5,24,24,2.744971667183379e-09,3.785850247726298e-08,0,-1.5740564336005063,0.022,0.41880869434143386,0.011,0.00011488522379104602,9.28e-06,True
