sample_id,campaign,alpha,width,checkpoint_id,parent_sample_id,n_blocks,total_bar_length,qr_failures,converged,mean_gamma,relative_gamma_error
TM-A58-M06-R0,A,0.58,6,cp0,,12,60000,0,True,0.3086199111322772,0.008
TM-A58-M06-R1,B,0.58,6,cp1,,12,60000,0,True,0.30856346841458965,0.009
TM-A58-M06-R2,C,0.58,6,cp2,,12,60000,0,True,0.30783382429960493,0.01
TM-A58-M06-R3,A,0.58,6,cp3,,12,60000,0,True,0.3082987309190243,0.011
TM-A58-M06-R4,B,0.58,6,cp4,,12,60000,0,True,0.3080419292850802,0.012
TM-A58-M06-R5,C,0.58,6,cp5,,12,60000,0,True,0.3056905499643619,0.013
TM-A58-M08-R0,A,0.58,8,cp0,,12,60000,0,True,0.24360058976165244,0.008
TM-A58-M08-R1,B,0.58,8,cp1,,12,60000,0,True,0.24263802565433182,0.009
TM-A58-M08-R2,C,0.58,8,cp2,,12,60000,0,True,0.2458239909553994,0.01
TM-A58-M08-R3,A,0.58,8,cp3,,12,60000,0,True,0.24441705397528662,0.011
TM-A58-M08-R4,B,0.58,8,cp4,,12,60000,0,True,0.2426699707364371,0.012
TM-A58-M08-R5,C,0.58,8,cp5,,12,60000,0,True,0.24300677447832963,0.013
TM-A58-M08-DUP,C,0.58,8,restart,TM-A58-M08-R0,12,60000,0,True,0.24360058976165244,0.008
TM-A58-M10-R0,A,0.58,10,cp0,,12,60000,0,True,0.20208038198067224,0.008
TM-A58-M10-R1,B,0.58,10,cp1,,12,60000,0,True,0.20120045602221112,0.009
TM-A58-M10-R2,C,0.58,10,cp2,,12,60000,0,True,0.20357210265486608,0.01
TM-A58-M10-R3,A,0.58,10,cp3,,12,60000,0,True,0.20575031706899144,0.011
TM-A58-M10-R4,B,0.58,10,cp4,,12,60000,0,True,0.20483505924021983,0.012
TM-A58-M10-R5,C,0.58,10,cp5,,12,60000,0,True,0.20236610796021887,0.013
TM-A58-M12-R0,A,0.58,12,cp0,,12,60000,0,True,0.17879350259968518,0.008
TM-A58-M12-R1,B,0.58,12,cp1,,12,60000,0,True,0.17705684946288872,0.009
TM-A58-M12-R2,C,0.58,12,cp2,,12,60000,0,True,0.17802183112571052,0.01
TM-A58-M12-R3,A,0.58,12,cp3,,12,60000,0,True,0.1766654993568177,0.011
TM-A58-M12-R4,B,0.58,12,cp4,,12,60000,0,True,0.17733209070198766,0.012
TM-A58-M12-R5,C,0.58,12,cp5,,12,60000,0,True,0.17837720835054416,0.013
TM-A58-M14-R0,A,0.58,14,cp0,,12,60000,0,True,0.15921497472509188,0.008
TM-A58-M14-R1,B,0.58,14,cp1,,12,60000,0,True,0.1586134719505516,0.009
TM-A58-M14-R2,C,0.58,14,cp2,,12,60000,0,True,0.1593260809347681,0.01
TM-A58-M14-R3,A,0.58,14,cp3,,12,60000,0,True,0.15701641832697652,0.011
TM-A58-M14-R4,B,0.58,14,cp4,,12,60000,0,True,0.15799089566007254,0.012
TM-A58-M14-R5,C,0.58,14,cp5,,12,60000,0,True,0.15990964517190331,0.013
TM-A58-M14-BAD,B,0.58,14,failed,,5,25000,1,False,0.14558223789743518,0.14
TM-A64-M06-R0,A,0.64,6,cp0,,12,60000,0,True,0.28368370268600734,0.008
TM-A64-M06-R1,B,0.64,6,cp1,,12,60000,0,True,0.28151100352472774,0.009
TM-A64-M06-R2,C,0.64,6,cp2,,12,60000,0,True,0.28370631191846735,0.01
TM-A64-M06-R3,A,0.64,6,cp3,,12,60000,0,True,0.28531686704438497,0.011
TM-A64-M06-R4,B,0.64,6,cp4,,12,60000,0,True,0.2840457982852016,0.012
TM-A64-M06-R5,C,0.64,6,cp5,,12,60000,0,True,0.2841791147735831,0.013
TM-A64-M08-R0,A,0.64,8,cp0,,12,60000,0,True,0.21846138963231063,0.008
TM-A64-M08-R1,B,0.64,8,cp1,,12,60000,0,True,0.22259414061124838,0.009
TM-A64-M08-R2,C,0.64,8,cp2,,12,60000,0,True,0.22047873883024954,0.01
TM-A64-M08-R3,A,0.64,8,cp3,,12,60000,0,True,0.22007175817183983,0.011
TM-A64-M08-R4,B,0.64,8,cp4,,12,60000,0,True,0.2200840784546431,0.012
TM-A64-M08-R5,C,0.64,8,cp5,,12,60000,0,True,0.21897902005785186,0.013
TM-A64-M08-DUP,C,0.64,8,restart,TM-A64-M08-R0,12,60000,0,True,0.21846138963231063,0.008
TM-A64-M10-R0,A,0.64,10,cp0,,12,60000,0,True,0.1830134819333506,0.008
TM-A64-M10-R1,B,0.64,10,cp1,,12,60000,0,True,0.18055118172810355,0.009
TM-A64-M10-R2,C,0.64,10,cp2,,12,60000,0,True,0.18032290942921045,0.01
TM-A64-M10-R3,A,0.64,10,cp3,,12,60000,0,True,0.17989191485236156,0.011
TM-A64-M10-R4,B,0.64,10,cp4,,12,60000,0,True,0.18133904066817513,0.012
TM-A64-M10-R5,C,0.64,10,cp5,,12,60000,0,True,0.17895901199238995,0.013
TM-A64-M12-R0,A,0.64,12,cp0,,12,60000,0,True,0.15460988974286533,0.008
TM-A64-M12-R1,B,0.64,12,cp1,,12,60000,0,True,0.1535284350092115,0.009
TM-A64-M12-R2,C,0.64,12,cp2,,12,60000,0,True,0.15559540177259842,0.01
TM-A64-M12-R3,A,0.64,12,cp3,,12,60000,0,True,0.15450018042800243,0.011
TM-A64-M12-R4,B,0.64,12,cp4,,12,60000,0,True,0.15320655190801433,0.012
TM-A64-M12-R5,C,0.64,12,cp5,,12,60000,0,True,0.1541656962580822,0.013
TM-A64-M14-R0,A,0.64,14,cp0,,12,60000,0,True,0.13641863730022996,0.008
TM-A64-M14-R1,B,0.64,14,cp1,,12,60000,0,True,0.13547997414119722,0.009
TM-A64-M14-R2,C,0.64,14,cp2,,12,60000,0,True,0.13558234267369954,0.01
TM-A64-M14-R3,A,0.64,14,cp3,,12,60000,0,True,0.1347526623334609,0.011
TM-A64-M14-R4,B,0.64,14,cp4,,12,60000,0,True,0.13418682031010637,0.012
TM-A64-M14-R5,C,0.64,14,cp5,,12,60000,0,True,0.13433038379403767,0.013
TM-A64-M14-BAD,B,0.64,14,failed,,5,25000,1,False,0.1257276954608369,0.14
TM-A68-M06-R0,A,0.68,6,cp0,,12,60000,0,True,0.2692342025850969,0.008
TM-A68-M06-R1,B,0.68,6,cp1,,12,60000,0,True,0.27169553135330643,0.009
TM-A68-M06-R2,C,0.68,6,cp2,,12,60000,0,True,0.26870263524323734,0.01
TM-A68-M06-R3,A,0.68,6,cp3,,12,60000,0,True,0.27011257295163343,0.011
TM-A68-M06-R4,B,0.68,6,cp4,,12,60000,0,True,0.2692480108615589,0.012
TM-A68-M06-R5,C,0.68,6,cp5,,12,60000,0,True,0.2705450298922706,0.013
TM-A68-M08-R0,A,0.68,8,cp0,,12,60000,0,True,0.2048408620133949,0.008
